Mã thuốc,Tên thuốc,Nhóm thuốc,Dạng bào chế,Quy tắc đóng gói,Liều dùng,Chống chỉ định,Tác dụng phụ,Đơn vị tính,Số lượng tồn kho,Trạng thái,Active,Cho phép BHYT,Ghi chú
MED0001,Paracetamol 500mg,Giảm đau,Viên nén,Hộp 10 viên,500mg/lần,Không dùng cho người suy gan,Buồn nôn,viên,0,Hết hàng,True,False,Không có ghi chú
MED0002,Ibuprofen 200mg,Giảm đau,Viên nén,Hộp 20 viên,200mg/lần,Không dùng cho người loét dạ dày,Đau bụng,viên,0,Hết hàng,True,False,Không có ghi chú
MED0003,Amoxicillin 500mg,Kháng sinh,Viên nén,Hộp 15 viên,500mg/lần,Dị ứng penicillin,Mẩn đỏ,viên,0,Hết hàng,True,False,Không có ghi chú
MED0004,Metformin 500mg,Tiểu đường,Viên nén,Hộp 30 viên,500mg/ngày,Suy thận nặng,Tiêu chảy,viên,0,Hết hàng,True,False,Không có ghi chú
MED0005,Vitamin C 1000mg,Vitamin,Viên nén,Hộp 50 viên,1000mg/ngày,Không dùng cho người bị sỏi thận,Tiêu chảy,viên,0,Hết hàng,True,False,Không có ghi chú
MED0006,Cetirizine 10mg,Kháng histamin,Viên nén,Hộp 10 viên,10mg/ngày,Không dùng cho trẻ dưới 6 tuổi,Buồn ngủ,viên,0,Hết hàng,True,False,Không có ghi chú
MED0007,Aspirin 100mg,Chống viêm,Viên nén,Hộp 30 viên,100mg/ngày,Không dùng cho người loét dạ dày,Dị ứng da,viên,0,Hết hàng,True,False,Không có ghi chú
MED0008,Omeprazole 20mg,Dạ dày,Viên nén,Hộp 28 viên,20mg/ngày,Không dùng cho phụ nữ có thai,Đau đầu,viên,0,Hết hàng,True,False,Không có ghi chú
MED0009,Loratadine 10mg,Kháng histamin,Viên nén,Hộp 10 viên,10mg/ngày,Không dùng cho trẻ em dưới 2 tuổi,Khô miệng,viên,0,Hết hàng,True,False,Không có ghi chú
MED0010,Ranitidine 150mg,Dạ dày,Viên nén,Hộp 20 viên,150mg/ngày,Không dùng cho bệnh nhân suy thận,Mệt mỏi,viên,0,Hết hàng,True,False,Không có ghi chú
MED0011,Paracetamol 650mg,Giảm đau,Viên nén,Hộp 10 viên,650mg/lần,Không dùng cho người suy gan,Buồn nôn,viên,0,Hết hàng,True,False,Không có ghi chú
MED0012,Ibuprofen 400mg,Giảm đau,Viên nén,Hộp 20 viên,400mg/lần,Không dùng cho người loét dạ dày,Đau bụng,viên,0,Hết hàng,True,False,Không có ghi chú
MED0013,Amoxicillin 250mg,Kháng sinh,Viên nén,Hộp 15 viên,250mg/lần,Dị ứng penicillin,Mẩn đỏ,viên,0,Hết hàng,True,False,Không có ghi chú
MED0014,Metformin 850mg,Tiểu đường,Viên nén,Hộp 30 viên,850mg/ngày,Suy thận nặng,Tiêu chảy,viên,0,Hết hàng,True,False,Không có ghi chú
MED0015,Vitamin C 500mg,Vitamin,Viên nén,Hộp 50 viên,500mg/ngày,Không dùng cho người bị sỏi thận,Tiêu chảy,viên,0,Hết hàng,True,False,Không có ghi chú
MED0016,Cetirizine 5mg,Kháng histamin,Viên nén,Hộp 10 viên,5mg/ngày,Không dùng cho trẻ dưới 6 tuổi,Buồn ngủ,viên,0,Hết hàng,True,False,Không có ghi chú
MED0017,Aspirin 81mg,Chống viêm,Viên nén,Hộp 30 viên,81mg/ngày,Không dùng cho người loét dạ dày,Dị ứng da,viên,0,Hết hàng,True,False,Không có ghi chú
MED0018,Omeprazole 40mg,Dạ dày,Viên nén,Hộp 28 viên,40mg/ngày,Không dùng cho phụ nữ có thai,Đau đầu,viên,0,Hết hàng,True,False,Không có ghi chú
MED0019,Loratadine 5mg,Kháng histamin,Viên nén,Hộp 10 viên,5mg/ngày,Không dùng cho trẻ em dưới 2 tuổi,Khô miệng,viên,0,Hết hàng,True,False,Không có ghi chú
MED0020,Ranitidine 300mg,Dạ dày,Viên nén,Hộp 20 viên,300mg/ngày,Không dùng cho bệnh nhân suy thận,Mệt mỏi,viên,0,Hết hàng,True,False,Không có ghi chú

